asteroid_dataset
,H,diameter,albedo,rot_per,diameter_sigma,epoch,e,a,q,i,om,w,ma,ad,n,tp,per,moid,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms,neo_flag,pha_flag,class_var
0,3.34,939.4,0.09,9.07417,0.2,2458600.5,0.07600902762923670,2.769165146349480,2.558683596230680,10.59406732590290,80.30553084093980,73.59769486239260,77.37209773768210,2.979646696468280,0.2138852268564230,2458238.7541287500,1683.145700575480,1.59478,2.09753,3.309,1.172E-11,2.5823E-11,5.6278E-11,1.9267E-09,1.1722E-08,1.1463E-08,3.8719E-09,2.7786E-11,2.9918E-12,1.327E-08,2.3543E-08,0.36954,0,0,C
1,4.13,545.0,0.101,7.8132,18.0,2458600.5,0.2303368122519390,2.772465922815750,2.13386496007724,34.83623460557910,173.0800618276950,310.0488584525200,59.69913098405380,3.411066885554260,0.2135033769950550,2458320.8832003800,1686.155999342060,1.23324,1.85493,3.043,3.3707E-08,4.1378E-09,9.3154E-08,3.7128E-06,6.4634E-06,9.5186E-06,9.1517E-06,5.0909E-09,4.7797E-10,4.2568E-05,3.7748E-06,0.35911,0,0,B
2,5.33,246.596,0.214,7.21,10.594,2458600.5,0.2569423149737980,2.669149515649110,1.983332060087030,12.98891943923850,169.8527548037530,248.1386297217080,34.92501898650090,3.354966971211180,0.2260188812382130,2458445.9774273900,1592.787284087900,1.03454,2.18657,3.298,3.2676E-08,3.7685E-09,8.7261E-08,3.5292E-06,1.7902E-05,1.9082E-05,8.6339E-06,4.7367E-09,4.7866E-10,3.8028E-05,3.3732E-06,0.31378,0,0,S
3,3.2,525.4,0.4228,5.34212766,0.2,2458600.5,0.08872145950956180,2.361417895877280,2.151909453643050,7.141770811873430,103.810804427096,150.7285412870120,95.86193620017680,2.570926338111510,0.2716094015313150,2458247.5595801900,1325.432764736220,1.13948,2.46988,3.535,2.3717E-10,1.5403E-09,1.9617E-09,2.2072E-07,3.9411E-07,1.805E-07,1.2275E-06,1.6769E-09,2.6574E-10,4.1741E-06,1.2968E-06,0.39592,0,0,V
4,6.85,106.699,0.274,16.806,3.14,2458600.5,0.191094522814835,2.574248918285960,2.082324049639500,5.366988177936240,141.5765957220510,358.6876128146670,282.3662912620400,3.066173786932410,0.2386317716345600,2458925.8284682300,1508.60045807858,1.09589,1.9604,3.396,2.4345E-08,4.5689E-09,6.2247E-08,2.8131E-06,2.973E-05,3.066E-05,9.054E-06,5.4419E-09,6.353E-10,3.8278E-05,4.0163E-06,0.49752,0,0,S
5,5.71,185.18,0.2679,7.2745,2.9,2458600.5,0.2030071057382810,2.425159990868160,1.932835280169740,14.73790068157330,138.6402040860600,239.8074896057580,86.19792168692150,2.917484701566580,0.2609717402740110,2458270.2040009100,1379.459705568170,0.973965,2.6358,3.439,2.0567E-08,3.0397E-09,5.0172E-08,2.2906E-06,1.1797E-05,1.3726E-05,7.752E-06,3.6568E-09,4.9065E-10,2.9502E-05,2.5935E-06,0.39825,0,0,S
6,5.51,199.83,0.2766,7.139,10.0,2458600.5,0.2312057882091300,2.38533381395173,1.833830829355130,5.523651438133130,259.5632326380280,145.265103459468,140.4196553603940,2.93683679854833,0.2675348279194210,2458075.6350452100,1345.619195824580,0.8461,2.47021,3.493,2.0047E-08,2.1478E-09,4.7778E-08,2.613E-06,2.6599E-05,2.7269E-05,7.0694E-06,2.6444E-09,3.6134E-10,2.5964E-05,1.8174E-06,0.36591,0,0,S
9,5.43,407.12,0.0717,27.63,6.8,2458600.5,0.1124606578329960,3.141539178476310,2.788239615856730,3.831560260844390,283.2021663567860,312.315207696501,152.1848508422610,3.494838741095880,0.1770069641572150,2457740.732410820,2033.818283444790,1.77839,1.53558,3.197,1.6377E-08,6.9628E-09,5.1029E-08,2.1883E-06,2.8718E-05,3.0405E-05,1.1128E-05,7.7459E-09,5.8847E-10,6.1608E-05,6.7616E-06,0.53109,0,0,C
10,6.55,142.887,0.191,13.7204,1.008,2458600.5,0.1004722627546810,2.45310938059135,2.206639930338600,4.629886722119000,125.5465851222690,195.5503976663630,278.9306853688020,2.699578830844100,0.2565244139467470,2458916.529626120,1403.375197164410,1.19322,2.54671,3.483,3.2426E-08,2.717E-09,8.0157E-08,3.6601E-06,2.558E-05,2.8815E-05,1.2788E-05,2.99E-09,4.2618E-10,4.9975E-05,2.3315E-06,0.44295,0,0,S
11,7.24,115.087,0.163,8.6599,1.199,2458600.5,0.2201715667202760,2.334315089265640,1.820365278843240,8.37307433147402,235.4101835262570,69.64180604042280,133.3358878139630,2.848264899688030,0.2763534290978860,2458118.0167963400,1302.67969236049,0.824953,2.43133,3.522,2.5972E-08,2.8237E-09,6.0913E-08,2.5866E-06,2.0106E-05,2.101E-05,7.7152E-06,3.4454E-09,5.0144E-10,2.7407E-05,2.3637E-06,0.5201,0,0,L
